BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
KINATHUKADAVU,Fruits,2014,9,26,Banana,COIMBATORE,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"banana Thrips and Lace wing bugs","recommended for spray Monocrotophos 36 WSC  1 mllit",11.0018,76.9628
ATHOOR,Fruits,2014,1,10,Banana,DINDIGUL,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"Thrips in banana","spray monocrotophos 2ml  lit",10.4257,77.8157
OTTAPIDARAM,Fruits,2014,5,27,Banana,THOOTHUKUDI,"Plant Protection",RABI,HORTICULTURE,TAMILNADU,"thrips in chilli","spray methyl dematan 2mlneemoil 3mlteepol 1mllit of water",8.8457,77.9938
HARIHARPARA,Fruits,2014,5,8,Banana,MURSHIDABAD,"Plant Protection",RABI,HORTICULTURE,"WEST BENGAL","CONTROL OF THRIPS IN BANANA","SPRAY CARTAP HYDROCHLORIDE 50 SP  1 GMLITOF WATER",24.1746,88.2721
NABINAGAR,Fruits,2015,7,26,Banana,AURANGABAD,"Agriculture Mechanization",KHARIF,HORTICULTURE,BIHAR,"Thrips problem in mung","spray imidachlorpid  1 ml  3 lt of water",24.8033,84.411
MAJORGANJ,Fruits,2015,3,13,Banana,SITAMARHI,"Plant Protection",RABI,HORTICULTURE,BIHAR,"Thrips and Lace wing bugs","Spray Methyl demeton 20 EC  2 mllit or Monocrotophos 36 WSC  1 mllit or Phosphamidon 40 SL  2mllit",26.5943,85.5004
NARAYANPUR,Fruits,2015,2,17,Banana,BHAGALPUR,"Plant Protection",JAYAD,HORTICULTURE,BIHAR,"Application of fertilizersThrips and Lace wing bugs","Thrips and Lace wing bugs Spray Methyl demeton 20 EC  2 mllit or Monocrotophos 36 WSC  1 mllit or Phosphamidon 40 SL  2mllitNem",25.2861,87.1304
MANDYA,Fruits,2015,2,3,Banana,MANDYA,"Plant Protection",nan,HORTICULTURE,KARNATAKA,THRIPS,"DICOFOL  1MLLT",12.6369,76.7275
CHIKNAYAKANHALLI,Fruits,2015,6,3,Banana,TUMKUR,"Plant Protection",nan,HORTICULTURE,KARNATAKA,"banana thrips","spray dimethioate 2mllt of water",13.3401,77.1006
ANGAMALI,Fruits,2015,1,26,Banana,ERNAKULAM,"Plant Protection",nan,HORTICULTURE,KERALA,Banana-thrips,"Recommended Dimethoate 30 EC 1 mllit",9.98408,76.2741
KALWAN,Fruits,2015,10,20,Banana,NASIK,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"tomato attack thrips","confidoar5mlmicrola30mlsaaf30gmgrowar30ml15lit of Water",19.9613,73.8317
CHOPDA,Fruits,2015,1,14,Banana,JALGAON,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Spray actra 5 gm  Redomil Gold 30gm15Lit of Water",20.8429,75.5261
JAMNER,Fruits,2015,2,4,Banana,JALGAON,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Spray Confidor super  Confidor 10ml15 Lit of Water",20.8429,75.5261
RAVER,Fruits,2015,2,5,Banana,JALGAON,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"Attack of Thrips","Spray Actra 5 gm15 Liter of Water",20.8429,75.5261
MUKTAINAGAR,Fruits,2015,3,5,Banana,JALGAON,"Plant Protection",RABI,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Actra 5 Gram  Karate 15 ML  m 45 gm  15 Liter Water",20.8429,75.5261
JAMNER,Fruits,2015,3,5,Banana,JALGAON,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Admire -4    3015     ",20.8429,75.5261
JALGAON,Fruits,2015,3,20,Banana,JALGAON,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Spray Karate 15ml15 Lit of Water",20.8429,75.5261
JALGAON,Fruits,2015,3,26,Banana,JALGAON,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Spray Actra 5 gm  redomilgold 30 gm 15 Lit of Water",20.8429,75.5261
PACHORA,Fruits,2015,4,4,Banana,JALGAON,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Attack of Thrips","Spray Actra 5 gm15 Lit of Water",20.8429,75.5261
PACHORA,Fruits,2015,4,16,Banana,JALGAON,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"THRIPS ATTACK ON BANANA","Spray Confidor super  Confidor 10ml15 Lit of Water",20.8429,75.5261
YAWAL,Fruits,2015,4,27,Banana,JALGAON,"Plant Protection",JAYAD,HORTICULTURE,MAHARASHTRA,"Attack of Thrips","Spray Oberon 15 ml15 Lit of Water",20.8429,75.5261
BHADGAON,Fruits,2015,9,14,Banana,JALGAON,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"Attack of Thrips on banana","Spray Ullala 8 gm15 Lit of Water",20.8429,75.5261
NAGAR,Fruits,2015,10,25,Banana,AHMADNAGAR,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"thrips on banana","spray regent 2  ml liter",19.0744,74.722
MIRAJ,Fruits,2015,3,7,Banana,SANGLI,"Plant Protection",RABI,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Actra 5 Gram  Karate 15 ML  m 45 gm  15 Liter Water",17.1727,74.5868
MIRAJ,Fruits,2015,12,7,Banana,SANGLI,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"asked about black spot thrips attack in banana","black spot thrips attack in banana - spray m 45  super confidor",17.1727,74.5868
MALSHIRAS,Fruits,2015,1,9,Banana,SOLAPUR,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","SPRAY ACTRA 5 GM  15 Lit of Water",17.8499,75.2763
KARMALA,Fruits,2015,4,7,Banana,SOLAPUR,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Thrips attack","Spray Karate10ml15 Lit of Water",17.8499,75.2763
MALSHIRAS,Fruits,2015,7,7,Banana,SOLAPUR,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"Attack of Thrips","Spray Actra 5 gm  m 45 30 gm  microlla  30 ml15 Lit of Water",17.8499,75.2763
KARMALA,Fruits,2015,10,27,Banana,SOLAPUR,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"THRIPS ON BANANA","THRIPS ON BANANA  - REJENT 15 GM LITER WATER SPRAY",17.8499,75.2763
"GAGAN BAWADA",Fruits,2015,2,28,Banana,KOLHAPUR,"Plant Protection",RABI,HORTICULTURE,MAHARASHTRA,"Attack of Thrips","Spray Actra 5 gm15 Lit of Water",16.7028,74.2405
RADHANAGARI,Fruits,2015,4,23,Banana,KOLHAPUR,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Spray Actra 5 gm   regent 10 ml  15 Lit of Water",16.7028,74.2405
ASHTI,Fruits,2015,5,6,Banana,BEED,"Plant Protection",JAYAD,HORTICULTURE,MAHARASHTRA,"Attack of Thrips","Spray Actra 5 gm   regent 10 ml   redomil gold 30 gm 15 Lit of Water",18.9918,75.9098
ARDHAPUR,Fruits,2015,2,14,Banana,NANDED,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Attack of Thrips","Spray Actra 5 gm  m 45 30 gm  microlla  30 ml15 Lit of Water",19.094,77.4832
LATUR,Fruits,2015,3,12,Banana,LATUR,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"thrips on baNANA","SPRAY IMIDACHLOROPID 75 ML IN 15 LTR OF WATER",18.3553,76.7549
AKOT,Fruits,2015,3,9,Banana,AKOLA,"Plant Protection",JAYAD,HORTICULTURE,MAHARASHTRA,"Attack of Thrips","Spray Confidor super  Confidor 6ml15 Lit of Water",20.7618,77.1921
UMARKHED,Fruits,2015,7,18,Banana,YEVATMAL,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Spray Actra 5 gm15 Lit of Water",18.9068,75.6742
ARVI,Fruits,2015,4,23,Banana,WARDHA,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"Attack of Thrips","Spray Actra 5 gm15 Lit of Water",20.8256,78.6131
BHANDARA,Fruits,2015,4,1,Banana,BHANDARA,"Plant Protection",JAYAD,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Spray Confidor super  Confidor 10ml15 Lit of Water",21.1226,79.7945
BASMAT,Fruits,2015,2,14,Banana,HINGOLI,"Plant Protection",RABI,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Actra 5 Gram  Karate 15 ML  15 Liter Water",19.5431,77.1739
KALAMNURI,Fruits,2015,9,29,Banana,HINGOLI,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"thrips control on banana crop","you can spray rijent 30 miliadmire 4 gram pamp water use for aphid jassid control",19.5431,77.1739
"THUAMUL RAM PUR",Fruits,2015,8,7,Banana,KALAHANDI,"Plant Protection",nan,HORTICULTURE,ODISHA,"Thrips and Lace wing bugs","Spray Methyl demeton 20 EC  2 ml per 1 lit",19.8266,83.0409
BANGRIPOSI,Fruits,2015,9,4,Banana,MAYURBHANJ,"Plant Protection",nan,HORTICULTURE,ODISHA,"FRUIT RUSTY THRIPS IN BANANA","APPLY FIPRONIL 5 SC  2GMLITRE WATER SPRAY",21.9156,86.3962
LAHUNIPARA,Fruits,2015,9,6,Banana,SUNDARGARH,"Plant Protection",nan,HORTICULTURE,ODISHA,"Thrips and Lace wing bugs","spray Methyl demeton 20 EC  2 mllit water",22.0605,83.9359
BALIKUDA,Fruits,2015,8,10,Banana,JAGATSINGHAPUR,"Plant Protection",nan,HORTICULTURE,ODISHA,"Thrips and Lace wing bugs in banana","spray Monocrotophos 36 WSC  1 mllit water",20.1801,86.3415
