BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"PIRAWA SUNEL",Fruits,2013,10,3,Mango,JHALAWAR,nan,nan,HORTICULTURE,RAJASTHAN,"TELL ME THRIPS OF MANGO","SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER",24.3132,76.5221
BHOPALGARH,Fruits,2013,5,22,Mango,JODHPUR,"Plant Protection",RABI,HORTICULTURE,RAJASTHAN,"thrips of mango","2 gram menkozeb 2 gram imidacloroprid per liter water sprey",26.2968,73.0351
"SAWAI MADHOPUR",Fruits,2013,10,24,Mango,"SAWAI MADHOPUR","Plant Protection",KHARIF,HORTICULTURE,RAJASTHAN,"THRIPS IN MANGO","SPRAY OF IMIDACHLOPRID 178 SL  05 ML PER LITER WATER",26.1137,76.4241
"GANGAPUR CITY",Fruits,2013,11,13,Mango,"SAWAI MADHOPUR","Plant Protection",nan,HORTICULTURE,RAJASTHAN,"about thrips cantrol in mango","SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER",26.1137,76.4241
"BARAN FULL",Fruits,2013,12,15,Mango,BARAN,nan,nan,HORTICULTURE,RAJASTHAN,"THRIPS ON MANGO","SPRAY OF IMIDACHLOPRID 178 SL  10 ML PER 16  LITER WATER",24.9208,76.6822
MUZAFFARABAD,Fruits,2013,4,25,Mango,SAHARANPUR,"Plant Protection",nan,HORTICULTURE,"UTTAR PRADESH","Thrips laga hai","Diamethoate 15mlliter ka spray",29.9857,77.5041
MANGOLKOTE,Fruits,2013,2,20,Mango,BARDDHAMAN,76,KHARIF,HORTICULTURE,"WEST BENGAL","ATTACK OF THRIPS IN MANGO","APPLY  ACEPHATE 75  SP  75 GMLIT OF WATER",23.25,87.75
"FARIDPUR - DURGAPUR",Fruits,2013,5,4,Mango,BARDDHAMAN,"Plant Protection",JAYAD,HORTICULTURE,"WEST BENGAL","CONTROL OF THRIPS IN MANGO","SPRAY TRIAZOPHOS 40 EC  1 MLLIT OF WATER",23.25,87.75
"FARIDPUR - DURGAPUR",Fruits,2013,5,4,Mango,BARDDHAMAN,"Plant Protection",JAYAD,HORTICULTURE,"WEST BENGAL","CONTROL OF THRIPS IN MANGO","SPRAY TRIAZOPHOS 40 EC  1 MLLIT OF WATER",23.25,87.75
BANKURA-I,Fruits,2013,3,30,Mango,BANKURA,76,RABI,HORTICULTURE,"WEST BENGAL","TO CONTROL OF THRIPS IN MANGO","SPRAY CARBARYL 50 WP22GMLIT OF WATER",23.1324,87.2082
KOTAURATLA,Fruits,2014,12,1,Mango,VISAKHAPATNAM,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","for thrips in mango","spraying of confidor 100ml200lt next 13:0:45 1kg200lt",17.6936,83.2921
KOVVUR,Fruits,2014,5,31,Mango,"WEST GODAVARI",nan,nan,HORTICULTURE,"ANDHRA PRADESH","control of mango thrips","sugested to spray fipronil 2mllit of water or carbaril 3 grlit of water  for control of thrips in mango",16.6443,81.5885
MYLAVARAM,Fruits,2014,2,24,Mango,KRISHNA,nan,nan,HORTICULTURE,"ANDHRA PRADESH","mango thrips","carboryl 3 gl",16.2128,81.0307
BANTUMILLI,Fruits,2014,2,26,Mango,KRISHNA,nan,nan,HORTICULTURE,"ANDHRA PRADESH","thrips control","DIMETHOATEROGAR ROGARIN 400 ML PER ACRE      3105314431183135310931473119314331033149312031473095313431203149 31203147309531343120313531123149 3119314230933134312030933137 400 308630748204308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831353093313431203136 309831433119313431223135",16.2128,81.0307
RAMAPURAM,Fruits,2014,12,17,Mango,"Y S R ","Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","mango thrips","RECOMMENDED TO SPRAY PHOSPHOMIDON DEMACRON SUMIDAN KINDAN PLUS 400 PER ACRE",15.9241,80.1864
BRAHMPUR,Fruits,2014,7,30,Mango,BUXAR,nan,nan,HORTICULTURE,BIHAR,"Thrips problem","Spray dimethoate  15 ml in 1 litre of water",25.5045,84.1097
DEESA,Fruits,2014,1,25,Mango,"BANAS KANTHA","Plant Protection",nan,HORTICULTURE,GUJARAT,"ask about thrips on mango","apply thimithokside 5 gram  15 liter",24.25,72.5
DEESA,Fruits,2014,2,17,Mango,"BANAS KANTHA",nan,nan,HORTICULTURE,GUJARAT,"mango thrips","suggest traizofos 30milipump",24.25,72.5
KANKREJ,Fruits,2014,2,25,Mango,"BANAS KANTHA","Plant Protection",nan,HORTICULTURE,GUJARAT,"ask about thrips on mango","I suggested thaimithokside 5 gram  15 liter",24.25,72.5
"CHHOTA UDEPUR",Fruits,2014,2,2,Mango,VADODARA,nan,nan,HORTICULTURE,GUJARAT,"ask about thrips","i suggested dimethoat",22.2973,73.1943
VALSAD,Fruits,2014,2,2,Mango,VALSAD,nan,nan,HORTICULTURE,GUJARAT,"ask about thrips","i suggested dimethoat",20.4322,73.141
VALSAD,Fruits,2014,2,17,Mango,VALSAD,"Plant Protection",KHARIF,HORTICULTURE,GUJARAT,"ask control of thrips","I suggested spray fipronil 25 mili pump",20.4322,73.141
NADIAD,Fruits,2014,2,13,Mango,KHEDA,nan,nan,HORTICULTURE,GUJARAT,"as about thrips","i suggested dimethoat",22.8533,72.9954
